unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MENA,EGY,Egypt,MCV2,95,96,96,94,94,94,94,96,92,93,96,92,97,97,96,96,97,97,97,96,97,96,99,97
LACR,SLV,ElSalvador,MCV2,71,72,80,66,76,85,86,87,88,85,85,95,81,78,82,79,86,89,85,80,77,,,
WCAR,GNQ,EquatorialGuinea,MCV2,28,13,17,,,,,,,,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,MCV2,85,85,85,85,85,85,88,88,88,,,,,,,,,,,,,,,
Non-programme,EST,Estonia,MCV2,84,84,84,87,90,88,91,92,92,93,92,94,95,95,96,97,96,98,98,97,96,94,84,89
ESAR,SWZ,Eswatini,MCV2,82,77,69,70,75,75,70,76,83,89,89,52,92,99,99,99,99,99,99,99,99,99,,
ESAR,ETH,Ethiopia,MCV2,53,48,46,46,41,,,,,,,,,,,,,,,,,,,
EAPR,FJI,Fiji,MCV2,83,84,78,71,72,89,86,83,94,86,92,92,93,93,93,93,94,94,74,,,,,
Non-programme,FIN,Finland,MCV2,92,92,93,93,93,93,92,85,,,,,,,,,,,,,,,,
Non-programme,FRA,France,MCV2,93,92,91,90,86,83,80,80,79,77,75,72,67,61,,,,,,,,,,
WCAR,GMB,Gambia,MCV2,73,52,61,61,61,71,68,79,81,73,53,56,,,,,,,,,,,,
ECAR,GEO,Georgia,MCV2,86,78,81,77,97,96,90,85,91,87,89,79,77,84,71,87,92,88,87,75,57,40,8,
Non-programme,DEU,Germany,MCV2,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,92,90,91,89,83,77,,
WCAR,GHA,Ghana,MCV2,78,84,83,79,83,83,83,75,63,67,54,52,,,,,,,,,,,,
ECAR,GRC,Greece,MCV2,83,83,83,83,83,83,83,83,83,83,83,83,77,77,77,77,77,,,,,,,
LACR,GRD,Grenada,MCV2,84,68,55,79,82,74,79,85,89,92,85,75,85,86,78,86,86,87,81,61,68,74,,
LACR,GTM,Guatemala,MCV2,77,71,79,79,78,78,89,67,,,,,,,,,,,,,,,,
WCAR,GIN,Guinea,MCV2,26,3,,,,,,,,,,,,,,,,,,,,,,
WCAR,GNB,Guinea-Bissau,MCV2,36,1,,,,,,,,,,,,,,,,,,,,,,
LACR,GUY,Guyana,MCV2,99,99,83,97,92,84,93,94,95,91,95,90,84,82,84,84,90,74,72,63,71,80,88,
LACR,HTI,Haiti,MCV2,41,41,41,41,41,38,25,26,,,,,,,,,,,,,,,,
LACR,HND,Honduras,MCV2,74,70,75,79,85,94,,,,,,,,,,,,,,,,,,
Non-programme,HUN,Hungary,MCV2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,ISL,Iceland,MCV2,89,80,10,93,94,95,95,95,94,93,94,97,90,92,93,94,95,93,90,89,92,,,
ROSA,IND,India,MCV2,90,90,82,81,84,82,80,76,69,60,51,36,27,,,,,,,,,,,
EAPR,IDN,Indonesia,MCV2,62,71,53,60,71,67,63,55,31,28,76,78,76,74,67,66,73,50,23,29,21,,,
MENA,IRN,Iran(IslamicRepublicof),MCV2,99,98,98,98,98,98,98,98,98,98,97,97,99,99,99,96,97,98,92,99,96,96,94,99
MENA,IRQ,Iraq,MCV2,83,97,84,93,86,83,84,75,76,67,57,68,77,77,87,76,64,52,58,41,45,48,52,
Non-programme,ISR,Israel,MCV2,92,92,93,96,96,96,96,97,97,96,95,89,87,93,92,91,90,96,96,97,97,97,97,
Non-programme,ITA,Italy,MCV2,85,85,86,86,88,89,86,82,83,83,84,,,,,,,,,,,,,
LACR,JAM,Jamaica,MCV2,89,83,85,89,92,82,95,85,83,72,71,76,60,56,78,80,84,88,91,95,95,96,96,
Non-programme,JPN,Japan,MCV2,94,95,94,95,93,93,95,93,93,94,93,92,92,97,92,78,,,,,,,,
MENA,JOR,Jordan,MCV2,89,80,85,90,93,96,99,99,96,98,98,96,95,95,90,90,97,88,92,98,91,90,87,83
ECAR,KAZ,Kazakhstan,MCV2,99,97,96,91,98,98,99,99,98,99,99,97,99,99,99,99,99,99,96,99,99,98,95,98
ESAR,KEN,Kenya,MCV2,76,70,71,67,60,53,41,35,28,,,,,,,,,,,,,,,
EAPR,KIR,Kiribati,MCV2,47,68,58,57,91,85,79,79,76,80,84,9,61,21,35,,,,,,,,,
MENA,KWT,Kuwait,MCV2,91,94,94,94,94,94,99,99,96,86,99,99,99,99,94,86,90,96,77,,,,,
ECAR,KGZ,Kyrgyzstan,MCV2,93,95,97,93,98,96,96,98,96,97,97,98,98,98,98,97,95,97,98,98,98,98,98,96
EAPR,LAO,LaoPeople'sDemocraticRepublic,MCV2,68,55,50,64,56,70,1,,,,,,,,,,,,,,,,,
Non-programme,LVA,Latvia,MCV2,92,86,85,94,96,94,89,89,92,89,92,92,92,93,92,94,98,99,99,98,97,96,95,90
MENA,LBN,Lebanon,MCV2,53,59,59,64,63,63,63,63,63,63,65,68,70,73,75,65,55,45,34,24,14,28,42,56
ESAR,LSO,Lesotho,MCV2,82,75,82,82,82,82,82,82,82,82,82,82,82,81,81,80,80,80,68,56,47,50,46,
WCAR,LBR,Liberia,MCV2,60,59,35,30,13,,,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,MCV2,72,72,72,72,72,72,94,96,97,92,95,97,97,97,97,97,97,96,95,95,90,86,81,
Non-programme,LTU,Lithuania,MCV2,86,87,88,91,93,92,92,92,92,92,92,93,94,95,94,96,96,94,95,93,93,95,96,97
Non-programme,LUX,Luxembourg,MCV2,90,90,90,90,90,90,86,86,86,86,86,86,,,,,,,,,,,,
ESAR,MDG,Madagascar,MCV2,47,32,24,14,,,,,,,,,,,,,,,,,,,,
ESAR,MWI,Malawi,MCV2,65,60,74,75,75,72,67,61,8,,,,,,,,,,,,,,,
EAPR,MYS,Malaysia,MCV2,96,96,98,84,87,88,99,99,99,99,99,99,95,95,95,93,92,90,91,,,,,
ROSA,MDV,Maldives,MCV2,99,98,98,97,96,99,99,99,99,97,99,99,96,96,96,76,56,,,,,,,
WCAR,MLI,Mali,MCV2,59,44,33,26,4,,,,,,,,,,,,,,,,,,,
Non-programme,MLT,Malta,MCV2,95,95,93,99,95,95,83,86,91,94,88,91,85,85,85,83,77,86,60,31,2,,,
EAPR,MHL,MarshallIslands,MCV2,61,54,58,68,64,61,62,49,70,53,56,58,74,90,66,79,91,60,71,92,90,70,6,6
WCAR,MRT,Mauritania,MCV2,24,,,,,,,,,,,,,,,,,,,,,,,
Non-programme,MUS,Mauritius,MCV2,94,93,83,87,99,99,95,92,96,85,85,90,89,90,85,83,80,85,78,80,,,,
LACR,MEX,Mexico,MCV2,74,82,97,79,55,99,62,98,96,95,76,92,97,91,92,94,85,91,97,97,96,89,99,98
EAPR,FSM,Micronesia(FederatedStatesof),MCV2,59,38,38,62,52,48,52,45,74,75,75,70,75,75,82,84,86,85,84,74,66,65,64,50
Non-programme,MCO,Monaco,MCV2,80,80,80,80,79,79,79,79,79,79,,,,,,,,,,,,,,
EAPR,MNG,Mongolia,MCV2,96,93,94,96,98,98,98,90,98,98,97,98,98,95,97,96,97,96,98,98,98,96,95,75
ECAR,MNE,Montenegro,MCV2,69,70,79,76,81,86,83,86,94,95,94,97,97,97,96,96,95,,,,,,,
MENA,MAR,Morocco,MCV2,99,99,99,99,99,99,99,99,95,54,,,,,,,92,92,92,91,,,,
ESAR,MOZ,Mozambique,MCV2,44,38,38,47,55,48,43,39,,,,,,,,,,,,,,,,
EAPR,MMR,Myanmar,MCV2,65,64,42,90,80,87,80,86,78,82,80,76,80,75,65,57,,,,,,,,
ESAR,NAM,Namibia,MCV2,62,79,56,63,56,50,32,,,,,,,,,,,,,,,,,
EAPR,NRU,Nauru,MCV2,99,99,99,97,95,94,94,97,96,94,88,81,99,99,92,99,99,97,50,60,72,83,95,
ROSA,NPL,Nepal,MCV2,89,87,87,74,76,69,59,25,,,,,,,,,,,,,,,,
